accession,start,end,type,strain_id,doi,feature,locus,id,predicted_function
CP091247,0,6000,DELETION,MCM 450 - A,735,gene,CNAG_00006,CNAG_00006,prohibitin-2
CP091247,0,6000,DELETION,MCM 450 - A,735,gene,CNAG_00007,CNAG_00007,methionine-tRNA ligase
CP091247,0,6000,DELETION,MCM 450 - A,735,gene,CNAG_07303,CNAG_07303,"hypothetical protein, variant"
CP091247,0,6500,DELETION,"MCM 136 - A, MCM 531 - A",0,gene,CNAG_00006,CNAG_00006,prohibitin-2
CP091247,0,6500,DELETION,"MCM 136 - A, MCM 531 - A",0,gene,CNAG_00007,CNAG_00007,methionine-tRNA ligase
CP091247,0,6500,DELETION,"MCM 136 - A, MCM 531 - A",0,gene,CNAG_07303,CNAG_07303,"hypothetical protein, variant"
CP091247,0,8000,DELETION,"MCM 450 - N, MCM 531 - C",735,gene,CNAG_00006,CNAG_00006,prohibitin-2
CP091247,0,8000,DELETION,"MCM 450 - N, MCM 531 - C",735,gene,CNAG_00007,CNAG_00007,methionine-tRNA ligase
CP091247,0,8000,DELETION,"MCM 450 - N, MCM 531 - C",735,gene,CNAG_07303,CNAG_07303,"hypothetical protein, variant"
CP091247,100500,101000,DUPLICATION,MCM 450 - A,735,gene,CNAG_00040,CNAG_00040,"cytochrome P450, family 51 (sterol 14- demethylase)"
CP091247,101500,104000,DUPLICATION,MCM 450 - A,735,gene,CNAG_00040,CNAG_00040,"cytochrome P450, family 51 (sterol 14- demethylase)"
CP091247,101500,104000,DUPLICATION,MCM 450 - A,735,gene,CNAG_07308,CNAG_07308,hypothetical protein
CP091247,104500,150000,DUPLICATION,MCM 450 - A,735,CDS,CNAG_00046,CNAG_00046-mR_1-CD1,n/a
CP091247,104500,150000,DUPLICATION,MCM 450 - A,735,CDS,CNAG_00046,CNAG_00046-mR_1-CD2,n/a
CP091247,104500,150000,DUPLICATION,MCM 450 - A,735,CDS,CNAG_00046,CNAG_00046-mR_1-CD3,n/a
CP091247,104500,150000,DUPLICATION,MCM 450 - A,735,CDS,CNAG_00046,CNAG_00046-mR_1-CD4,n/a
CP091247,104500,150000,DUPLICATION,MCM 450 - A,735,CDS,CNAG_00046,CNAG_00046-mR_1-CD5,n/a
