accession,start,end,type,strain_id,doi,feature,locus,id,predicted_function
CP003820.1,0,2500,DUPLICATION,"MCM 529 - B, MCM 529 - A",3,protein_coding_gene,CNAG_04548,CNAG_04548,hypothetical protein
CP003820.1,2152000,2159000,DELETION,MCM 012,7620,protein_coding_gene,CNAG_00813,CNAG_00813,hypothetical protein
CP003820.1,2152000,2159000,DELETION,MCM 012,7620,protein_coding_gene,CNAG_00814,CNAG_00814,hypothetical protein
CP003820.1,2154500,2157000,DELETION,"MCM 529 - B, MCM 529 - A",3,protein_coding_gene,CNAG_00813,CNAG_00813,hypothetical protein
CP003820.1,2154500,2157000,DELETION,"MCM 529 - B, MCM 529 - A",3,protein_coding_gene,CNAG_00814,CNAG_00814,hypothetical protein
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,exon,CNAG_12018,exon_CNAG_12018-t26_1-E1,n/a
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,exon,CNAG_12018,exon_CNAG_12018-t26_1-E2,n/a
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,exon,CNAG_12019,exon_CNAG_12019-t26_1-E1,n/a
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,exon,CNAG_12019,exon_CNAG_12019-t26_1-E2,n/a
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,exon,CNAG_12019,exon_CNAG_12019-t26_1-E3,n/a
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,exon,CNAG_12019,exon_CNAG_12019-t26_1-E4,n/a
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,ncRNA,CNAG_12018,CNAG_12018-t26_1,unspecified product
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,ncRNA,CNAG_12019,CNAG_12019-t26_1,unspecified product
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,ncRNA_gene,CNAG_12018,CNAG_12018,unspecified product
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,ncRNA_gene,CNAG_12019,CNAG_12019,unspecified product
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_00127,CNAG_00127,hypothetical protein
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_00128,CNAG_00128,hypothetical protein
CP003820.1,340000,350500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_07313,CNAG_07313,hypothetical protein
CP003824.1,481500,487500,DELETION,MCM 012,7620,protein_coding_gene,CNAG_01367,CNAG_01367,hypothetical protein
CP003824.1,481500,487500,DELETION,MCM 012,7620,protein_coding_gene,CNAG_01368,CNAG_01368,hypothetical protein%2C variant
CP003824.1,483000,485500,DELETION,"MCM 529 - B, MCM 529 - A",3,protein_coding_gene,CNAG_01367,CNAG_01367,hypothetical protein
CP003824.1,483000,485500,DELETION,"MCM 529 - B, MCM 529 - A",3,protein_coding_gene,CNAG_01368,CNAG_01368,hypothetical protein%2C variant
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_1-p1-CDS1,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_1-p1-CDS2,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_1-p1-CDS3,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_1-p1-CDS4,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_1-p1-CDS5,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_1-p1-CDS6,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_1-p1-CDS7,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_2-p1-CDS1,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_2-p1-CDS2,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_2-p1-CDS3,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_2-p1-CDS4,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_2-p1-CDS5,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,CDS,CNAG_01334,CNAG_01334-t26_2-p1-CDS6,n/a
CP003824.1,566500,598000,DUPLICATION,"MCM 012, MCM 012",7620,exon,CNAG_01334,exon_CNAG_01334-t26_1-E1,n/a
CP003824.1,566500,598000,DUPLICATION,"MCM 012, MCM 012",7620,exon,CNAG_01334,exon_CNAG_01334-t26_1-E2,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,exon,CNAG_01334,exon_CNAG_01334-t26_1-E3,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,exon,CNAG_01334,exon_CNAG_01334-t26_1-E4,n/a
CP003824.1,566500,598000,DUPLICATION,"MCM 012, MCM 012",7620,exon,CNAG_01334,exon_CNAG_01334-t26_1-E5,n/a
CP003824.1,566500,598000,DUPLICATION,"MCM 012, MCM 012",7620,exon,CNAG_01334,exon_CNAG_01334-t26_1-E6,n/a
CP003824.1,566500,598000,DUPLICATION,"MCM 012, MCM 012",7620,exon,CNAG_01334,exon_CNAG_01334-t26_1-E7,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,exon,CNAG_01334,exon_CNAG_01334-t26_2-E3,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,exon,CNAG_12442,exon_CNAG_12442-t26_1-E1,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,exon,CNAG_12443,exon_CNAG_12443-t26_1-E1,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,exon,CNAG_12443,exon_CNAG_12443-t26_1-E2,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,exon,CNAG_12443,exon_CNAG_12443-t26_1-E3,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,five_prime_UTR,CNAG_01334-t26_1,utr_CNAG_01334-t26_1_2,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,five_prime_UTR,CNAG_01334-t26_2,utr_CNAG_01334-t26_2_2,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,ncRNA,CNAG_12442,CNAG_12442-t26_1,unspecified product
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,ncRNA,CNAG_12443,CNAG_12443-t26_1,unspecified product
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,ncRNA_gene,CNAG_12442,CNAG_12442,unspecified product
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,ncRNA_gene,CNAG_12443,CNAG_12443,unspecified product
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_01323,CNAG_01323,ubiquinol-cytochrome c reductase subunit 7
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_01324,CNAG_01324,hypothetical protein
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_01325,CNAG_01325,DASH complex subunit SPC19
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_01330,CNAG_01330,hypothetical protein
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_01331,CNAG_01331,hypothetical protein
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_01332,CNAG_01332,small subunit ribosomal protein S24e
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_01333,CNAG_01333,HASPIN protein kinase
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_01334,CNAG_01334,hypothetical protein
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_01335,CNAG_01335,hypothetical protein
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_01336,CNAG_01336,hypothetical protein
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_01337,CNAG_01337,WD-repeat protein%2C variant
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_07425,CNAG_07425,hypothetical protein
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_07980,CNAG_07980,hypothetical protein
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,three_prime_UTR,CNAG_01334-t26_1,utr_CNAG_01334-t26_1_1,n/a
CP003824.1,566500,598000,DUPLICATION,MCM 012,7620,three_prime_UTR,CNAG_01334-t26_2,utr_CNAG_01334-t26_2_1,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06861,CNAG_06861-t26_1-p1-CDS6,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06867,CNAG_06867-t26_1-p1-CDS1,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06867,CNAG_06867-t26_1-p1-CDS10,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06867,CNAG_06867-t26_1-p1-CDS2,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06867,CNAG_06867-t26_1-p1-CDS3,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06867,CNAG_06867-t26_1-p1-CDS4,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06867,CNAG_06867-t26_1-p1-CDS5,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06867,CNAG_06867-t26_1-p1-CDS6,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06867,CNAG_06867-t26_1-p1-CDS7,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06867,CNAG_06867-t26_1-p1-CDS8,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06867,CNAG_06867-t26_1-p1-CDS9,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06873,CNAG_06873-t26_1-p1-CDS1,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06873,CNAG_06873-t26_1-p1-CDS3,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06873,CNAG_06873-t26_1-p1-CDS4,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06873,CNAG_06873-t26_1-p1-CDS5,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06873,CNAG_06873-t26_1-p1-CDS6,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,CDS,CNAG_06873,CNAG_06873-t26_1-p1-CDS7,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06861,exon_CNAG_06861-t26_1-E6,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06867,exon_CNAG_06867-t26_1-E10,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06867,exon_CNAG_06867-t26_1-E2,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06867,exon_CNAG_06867-t26_1-E3,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06867,exon_CNAG_06867-t26_1-E4,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06867,exon_CNAG_06867-t26_1-E5,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06867,exon_CNAG_06867-t26_1-E6,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06867,exon_CNAG_06867-t26_1-E7,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06867,exon_CNAG_06867-t26_1-E8,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06867,exon_CNAG_06867-t26_1-E9,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06873,exon_CNAG_06873-t26_1-E1,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06873,exon_CNAG_06873-t26_1-E2,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06873,exon_CNAG_06873-t26_1-E4,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06873,exon_CNAG_06873-t26_1-E5,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06873,exon_CNAG_06873-t26_1-E6,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06873,exon_CNAG_06873-t26_1-E7,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_06873,exon_CNAG_06873-t26_1-E8,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_12408,exon_CNAG_12408-t26_1-E1,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_12409,exon_CNAG_12409-t26_1-E1,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_12409,exon_CNAG_12409-t26_1-E2,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_12410,exon_CNAG_12410-t26_1-E1,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_12410,exon_CNAG_12410-t26_1-E2,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_12410,exon_CNAG_12410-t26_1-E3,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_12410,exon_CNAG_12410-t26_1-E4,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_12411,exon_CNAG_12411-t26_1-E1,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_12411,exon_CNAG_12411-t26_1-E2,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_12411,exon_CNAG_12411-t26_1-E3,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,exon,CNAG_12411,exon_CNAG_12411-t26_1-E4,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,five_prime_UTR,CNAG_06873-t26_1,utr_CNAG_06873-t26_1_2,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,five_prime_UTR,CNAG_06873-t26_1,utr_CNAG_06873-t26_1_3,n/a
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,ncRNA,CNAG_12408,CNAG_12408-t26_1,unspecified product
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,ncRNA,CNAG_12409,CNAG_12409-t26_1,unspecified product
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,ncRNA,CNAG_12410,CNAG_12410-t26_1,unspecified product
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,ncRNA,CNAG_12411,CNAG_12411-t26_1,unspecified product
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,ncRNA_gene,CNAG_12408,CNAG_12408,unspecified product
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,ncRNA_gene,CNAG_12409,CNAG_12409,unspecified product
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,ncRNA_gene,CNAG_12410,CNAG_12410,unspecified product
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,ncRNA_gene,CNAG_12411,CNAG_12411,unspecified product
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06861,CNAG_06861,putative TFIID and saga complex component
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06862,CNAG_06862,vacuolar protein%2C variant 2
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06863,CNAG_06863,hypothetical protein
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06864,CNAG_06864,hypothetical protein
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06865,CNAG_06865,translation machinery-associated protein 16
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06866,CNAG_06866,hypothetical protein
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06867,CNAG_06867,hypothetical protein
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06868,CNAG_06868,Phosphopyruvate hydratase
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06869,CNAG_06869,HPP family protein%2C variant 2
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06870,CNAG_06870,hypothetical protein
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06871,CNAG_06871,hypothetical protein
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06872,CNAG_06872,5-oxoprolinase
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06873,CNAG_06873,5-oxoprolinase
CP003824.1,7500,46500,DUPLICATION,MCM 012,7620,protein_coding_gene,CNAG_06874,CNAG_06874,HpcH/HpaI aldolase/citrate lyase
